Group,Mean CSD Amplitude (µV/m²),Max CSD Amplitude (µV/m²),Std Dev CSD (µV/m²),Motor CSD Activity,Frontal CSD Activity,Delta CSD,Theta CSD,Alpha CSD,Beta CSD,Gamma CSD
0,4555.5977638696895,92484.14887201179,6728.099858657274,3663.784172322646,5370.278356809979,8240835.238414251,1284253.421940204,367452.9670467844,425637.7862969702,37554.87806130374
0,4799.22864080785,266613.92692807026,8675.352517957446,3439.3018507628817,5431.751655938318,16450904.038382338,1612563.3422174244,424541.07365332,350133.8926527091,38815.282870834955
0,7927.328557022783,301763.90428942005,12878.508166298832,6544.811395655534,7825.216597295231,28030497.810556218,3158222.672809623,2136384.2782394392,1907730.6012462885,194156.5033032499
0,3051.021253247076,266674.90648873843,4363.319841096645,2954.5661082412466,3057.569498236881,3248148.2841486726,506381.44341308856,284459.083854052,216192.94978132818,8831.395417177879
0,5559.371881916784,573407.4516320294,15925.273594017915,3586.5325996787533,7420.861223829364,67630922.81558324,2218276.322930962,372435.82451649825,372478.34016295284,27203.973677006383
0,3585.8012610349306,404926.07759284624,6524.809314616787,2753.716644467571,4521.568316706178,7350905.64984099,334345.6015965757,286502.26472797774,581072.2955551639,49749.43243309464
0,3633.80008350654,241739.86036634608,6187.435164641425,3178.3763289203066,3613.5026171364975,7229324.095687887,1130997.5864663739,381751.9782013489,270301.7397115889,19067.119086541086
0,13905.90400247277,530173.6518382747,25216.912460281776,11336.710807514277,13433.266349154468,167112875.57426968,4114405.0585335214,1417099.8288908289,647210.6823218324,73565.63742864624
0,3520.4209107694937,114582.96906054603,4883.436112652711,2788.3598296145487,4558.52011983655,3509138.487668856,353356.85445435013,217207.3282134482,421423.93634443055,29182.698243798506
0,2977.7556098074015,127085.35994832689,4510.24537505781,2660.127111354213,2984.9449012099803,3968579.314173786,482610.0381470089,237304.45177891952,179429.2863074825,7015.62401624186
0,2996.862852057519,249485.87802756668,5023.413968394443,2880.3282777337245,2976.814119629379,5064053.294591316,407685.7816888436,270417.4315284568,180633.35479936513,10141.564773626067
0,4278.426712777459,415433.2011205458,6946.702844028296,3985.8771996518058,4319.327622856473,8302423.34622105,842499.2309696149,712421.2666217175,559776.0335640702,49683.85046097836
0,3086.3788763239,171016.03033591332,5160.069275831645,2568.128215948799,3342.5760484599923,5216520.5539667895,493609.8699945996,277813.3846846442,210599.08328733974,22353.45532528084
0,3929.102859977106,1164445.7684472713,9889.667598158325,5152.518063694961,3532.0259093977174,20705320.66013121,2173493.848021002,987189.1010721782,275831.6582792843,10222.499866141234
0,5074.317887103787,1884655.0557437388,22170.626061977197,4503.799304949774,5616.533500213926,135064035.1423426,2200376.5662206854,857954.406998195,425527.3042415768,17924.684366519847
0,6351.298170855915,366377.52701189026,11152.646203211156,3720.296236794106,7682.11507668113,27205008.719506033,3981837.6487669228,727887.1958946018,472507.0675145517,37765.568684010555
0,2688.017604035721,528297.3870418499,5192.18664728355,2365.828621795967,2481.672934341693,6054714.850420229,426222.5055404678,216059.15435746766,107565.44310972636,9075.48957238025
0,3595.2815305786135,515579.82996659545,5626.160271929287,3468.7361742309245,3064.176951054069,6271183.668172677,519822.1081067771,393893.6436451428,239739.12789189798,19566.491195855637
0,3377.8579219137077,428557.0087485132,5381.380501308757,2501.0756376609343,2898.5463955902865,4827472.769900026,764607.5746454371,1118786.0964646414,194416.5216483596,8433.527390299241
